Name,CDSName,RA,Dec,ra1,ra2,ra3,RA_dec,RA_radians,sde,de1,de2,de3,de_dec,Dec_radians,LongGal,LatGal,B,V,B-V,B0-V0,EB-V,OType,Sp,Sp_s,Miles
HD 150117, 17 Dra A,"16 36 13,40"," +52 55 26,0      ",16,36,13.4,249.055833333333,4.3468443129649,+,52,55,26.0,52.9238888888889,0.923696114070755,80.9704,41.4763,5.03,5.08,-0.05,-0.07,0.02,Star,B9V,B9,
HD 150117, 17 Dra A,"16 36 13,72001","+52 55 27,9100",16,36,13.7,249.057166708333,4.34686758474882,+,52,55,27.9,52.9244194444444,0.923705374012063,80.9709,41.4754,5.6,5.5,0.1,-0.07,0.17,Star,B9V,B9,
HD 150378, 37 Her,"16 40 38,68818","+04 13 11,2324",16,40,38.7,250.16120075,4.36613661383001,+,04,13,11.2,4.21978677777778,0.073649173004345,20.8153,30.8661,5.766,5.772,-0.006,0.02,-0.03,**,A1V,A1,
HD 150742,HD 150742,"16 44 42,59332","-40 50 22,8251",16,44,42.6,251.177472166667,4.38387389614475,-,40,50,22.8,-40.8396736388889,-0.712786770438545,343.0819,3.1781,5.534,5.636,-0.102,-0.2,0.10,Star,B3V,B3,
HD 15130 ,rho Cet,"02 25 57,00560","-12 17 25,7104",02,25,57.0,36.4875233333333,0.636827418064923,-,12,17,25.7,-12.2904751111111,-0.214509257323305,183.7466,-63.3488,4.847,4.869,-0.022,-0.01,-0.01,Star,A0V,A0,
HD 15144 ,HD 15144,"02 26 00,34762","-15 20 28,5078",02,26,00.3,36.5014484166667,0.637070456617705,-,15,20,28.5,-15.3412521666667,-0.267755361687048,189.5303,-65.0774,5.998,5.86,0.138,0.17,-0.03,RotV*alf2CVn,"A6Vsp,,,",A6,
HD 151862,HD 151862,"16 49 34,65738","+13 15 40,1014",16,49,34.7,252.39440575,4.40511339395201,+,13,15,40.1,13.2611392777778,0.231450542962765,31.5068,32.9428,5.94,5.91,0.03,0.02,0.01,Star,A1V,A1,
HD 151890,mu.01 Sco,"16 51 52,23111","-38 02 50,5694",16,51,52.2,252.967629625,4.4151180379218,-,38,02,50.6,-38.0473803888889,-0.664052059544832,346.1152,3.914,2.82,2.98,-0.16,-0.26,0.10,EB*betLyr,"B1,5Vp+,,,","B1,5",
HD 152107, 52 Her,"16 49 14,21821","+45 58 59,9620",16,49,14.2,252.309242541667,4.40362701556504,+,45,58,60.0,45.9833227777778,0.802560383479527,71.606,39.9603,4.914,4.823,0.091,0.05,0.04,RotV*alf2CVn,"A2Vspe,,,",A2,
HD 152127, 21 Oph,"16 51 24,92852","+01 12 57,4107",16,51,24.9,252.853868833333,4.41313253754753,+,01,12,57.4,1.21594741666667,0.021222285951953,19.3545,27.0421,5.56,5.51,0.05,0.05,0.00,**,A2Vs,A2,
HD 152527,HD 152527,"16 56 28,76899","-52 17 01,4884",16,56,28.8,254.119870791667,4.43522844005716,-,52,17,01.5,-52.2837467777778,-0.912523526551199,335.5499,-5.6768,5.86,5.929,-0.069,-0.07,0.00,PM*,B9V,B9,
HD 152614,iot Oph,"16 54 00,47151","+10 09 55,2982",16,54,00.5,253.501964625,4.42444394298044,+,10,09,55.3,10.1653606111111,0.177419012316432,28.7341,30.6605,4.3,4.38,-0.08,-0.11,0.03,PM*,B8V,B8,
HD 152849, 24 Oph,"16 56 48,03471","-23 09 01,2316",16,56,48.0,254.200144625,4.43662948275202,-,23,09,01.2,-23.1503421111111,-0.404049692801984,358.6031,12.31,5.59,5.58,0.01,-0.01,0.02,**,A0V,A0,
HD 153613,HD 153613,"17 01 52,64371","-32 08 36,6857",17,01,52.6,255.469348791667,4.45878127434039,-,32,08,36.7,-32.1435238055556,-0.561010323600123,352.0361,5.9738,4.927,5.014,-0.087,-0.11,0.02,PM*,B8V,B8,
HD 153808,eps Her,"17 00 17,37378","+30 55 35,0565",17,00,17.4,255.07239075,4.45185304952103,+,30,55,35.1,30.9264045833333,0.539767585783031,52.8536,36.1755,3.9,3.906,-0.006,-0.01,0.00,SB*,A0V,A0,
HD 154228,HD 154228,"17 03 39,30196","+13 36 19,2451",17,03,39.3,255.913758166667,4.46653768116087,+,13,36,19.2,13.6053458611111,0.237458081148972,33.4957,29.9497,5.92,5.918,0.002,0.02,-0.02,V*,A1V,A1,
HD 15427 ,phi For,"02 28 01,70338","-33 48 39,7450",02,28,01.7,37.0070974166667,0.645895696527122,-,33,48,39.7,-33.8110402777778,-0.590113976371641,236.6769,-68.2019,5.216,5.132,0.084,0.05,0.03,Star,A2V,A2,
HD 154445,HD 154445,"17 05 32,25931","-00 53 31,4458",17,05,32.3,256.384413791667,4.47475217146015,-,00,53,31.4,-0.892068277777778,-0.015569528599818,19.2966,22.9307,5.739,5.642,0.097,-0.26,0.36,Star,B1V,B1,
HD 155259,HD 155259,"17 12 16,20492","-39 30 25,0175",17,12,16.2,258.0675205,4.50412792518296,-,39,30,25.0,-39.5069493055556,-0.689526342800433,347.3943,-0.123,5.708,5.669,0.039,0.02,0.02,PM*,A1V,A1,
HD 155806,HD 155806,"17 15 19,24790","-33 32 54,3143",17,15,19.2,258.830199583333,4.51743918632322,-,33,32,54.3,-33.5484206388889,-0.585530398992631,352.5858,2.8683,5.556,5.612,-0.056,-0.04,-0.02,Be*,O8Ve,O8,
HD 156247,VU Oph,"17 16 31,71646","+01 12 37,9617",17,16,31.7,259.132151916667,4.52270924872397,+,01,12,38.0,1.21054491666667,0.021127994539114,22.7346,21.572,5.924,5.903,0.021,-0.16,0.18,EB*Algol,"B5Vnn+,,,",B5,
HD 156293,HD 156293,"17 18 47,82907","-44 07 47,0906",17,18,47.8,259.699287791667,4.5326076370489,-,44,07,47.1,-44.1297473888889,-0.770209390009482,344.3365,-3.7987,5.708,5.745,-0.037,-0.07,0.03,Star,B9V,B9,
HD 156633,u Her,"17 17 19,56756","+33 06 00,3631",17,17,19.6,259.3315315,4.52618907891439,+,33,06,00.4,33.1001008611111,0.577705742768599,56.4049,33.1367,4.63,4.8,-0.17,-0.26,0.09,EB*Algol,"B1,5Vp+,,,","B1,5",
HD 156729,e Her,"17 17 40,25427","+37 17 29,3995",17,17,40.3,259.417726125,4.52769345891816,+,37,17,29.4,37.2914998611111,0.650859455583397,61.347,33.9133,4.663,4.624,0.039,0.05,-0.01,PM*,A2V,A2,
HD 157198, 70 Her,"17 20 54,20626","+24 29 57,9766",17,20,54.2,260.225859416667,4.54179804565273,+,24,29,58.0,24.4994379444444,0.427595857018586,46.9305,30.0498,5.125,5.126,-0.001,0.05,-0.05,Star,A2V,A2,
HD 157740,HD 157740,"17 24 31,53714","+16 18 03,6210",17,24,31.5,261.13140475,4.55760279324546,+,16,18,03.6,16.3010058333333,0.284506223178468,38.555,26.3733,5.818,5.749,0.069,0.08,-0.01,Star,A3V,A3,
HD 157778,rho Her B,"17 23 40,67"," +37 08 48,2      ",17,23,40.7,260.919458333333,4.55390363043682,+,37,08,48.2,37.1467222222222,0.648332609101522,61.4429,32.7114,5.45,5.42,0.03,-0.01,0.04,Star,A0Vn,A0,
HD 158094,del Ara,"17 31 05,91272","-60 41 01,8522",17,31,05.9,262.774636333333,4.58628259474738,-,60,41,01.9,-60.6838478333333,-1.05913294747089,331.27,-14.3557,3.52,3.6,-0.08,-0.11,0.03,PM*,B8Vn,B8,
HD 158148,HD 158148,"17 26 49,12801","+20 04 51,5194",17,26,49.1,261.704700041667,4.56760868367123,+,20,04,51.5,20.0809776111111,0.350479176333154,42.7143,27.2724,5.391,5.51,-0.119,-0.16,0.04,SB*,B5V,B5,
HD 158261,HD 158261,"17 26 46,14547","+34 41 44,8879",17,26,46.1,261.692272791667,4.56739178724176,+,34,41,44.9,34.6958021944444,0.605555984913728,58.7671,31.586,5.934,5.932,0.002,-0.01,0.01,SB*,A0V,A0,
HD 158352,HD 158352,"17 28 49,65460","+00 19 50,2529",17,28,49.7,262.206894166667,4.57637362463665,+,00,19,50.3,0.330625805555556,0.005770508899003,23.4854,18.4529,5.639,5.424,0.215,0.2,0.02,PM*,A7V,A7,
HD 158414,x Her,"17 26 44,24176","+48 15 36,2273",17,26,44.2,261.684340666667,4.56725334554383,+,48,15,36.2,48.2600631388889,0.842296998993961,74.6997,33.6604,5.96,5.83,0.13,0.12,0.01,Star,A4V,A4,
HD 158427,alf Ara,"17 31 50,49153","-49 52 34,1220",17,31,50.5,262.960381375,4.58952445729372,-,49,52,34.1,-49.876145,-0.870502948452107,340.7552,-8.8272,2.727,2.836,-0.109,-0.24,0.13,Be*,B2Vne,B2,
HD 158460,HD 158460,"17 25 41,35386","+60 02 54,2330",17,25,41.4,261.42230775,4.56268000839939,+,60,02,54.2,60.0483980555556,1.04804225661761,88.8908,33.882,5.673,5.645,0.028,0.02,0.01,Star,A1Vn,A1,
HD 158643,c Oph,"17 31 24,95413","-23 57 45,5136",17,31,25.0,262.853975541667,4.58766732515874,-,23,57,45.5,-23.9626426666667,-0.418227012012208,2.5204,5.3384,4.81,4.81,0,-0.01,0.01,Be*,A0V,A0,
HD 159139, 78 Her,"17 31 49,57878","+28 24 26,9981",17,31,49.6,262.95657825,4.58945808024061,+,28,24,27.0,28.4074994722222,0.495804398048829,52.0612,28.9092,5.65,5.65,0,0.02,-0.02,Star,A1V,A1,
HD 159170,HD 159170,"17 33 29,84512","-05 44 41,2924",17,33,29.8,263.374354666667,4.59674965424863,-,05,44,41.3,-5.74480344444445,-0.100265734985467,18.5557,14.4617,5.791,5.619,0.172,0.15,0.02,PM*,A5V,A5,
HD 159176,HD 159176,"17 34 42,49348","-32 34 53,9926",17,34,42.5,263.677056166667,4.60203279207436,-,32,34,54.0,-32.5816646111111,-0.568657323244407,355.6666,0.0493,5.74,5.68,0.06,-0.04,0.10,SB*,"O6V+,,,",O6,
HD 159217,sig Ara,"17 35 39,58957","-46 30 20,4618",17,35,39.6,263.914956541667,4.60618493690984,-,46,30,20.5,-46.5056838333333,-0.811677303783164,343.9837,-7.5805,4.552,4.571,-0.019,-0.01,-0.01,Star,A0V,A0,
HD 159358,HD 159358,"17 34 46,35143","-11 14 31,1929",17,34,46.4,263.693130958333,4.6023133501155,-,11,14,31.2,-11.2419980277778,-0.196209880087432,13.858,11.402,5.549,5.537,0.012,-0.11,0.12,Star,B8Vn,B8,
HD 159480,f Oph,"17 34 36,69409","+09 35 12,1201",17,34,36.7,263.652892041667,4.60161104853224,+,09,35,12.1,9.58670002777778,0.167319479885754,32.9508,21.3851,5.833,5.793,0.04,0.05,-0.01,Star,A2V,A2,
HD 159541,nu.01 Dra,"17 32 10,56856","+55 11 03,2739",17,32,10.6,263.044035666667,4.59098450011674,+,55,11,03.3,55.18424275,0.96314673120731,83.0326,33.1348,5.121,4.888,0.233,0.17,0.06,PM*,A6V,A6,
HD 160181, 79 Her,"17 37 31,09487","+24 18 35,9668",17,37,31.1,264.379561958333,4.61429383115326,+,24,18,36.0,24.3099907777778,0.42428938020168,48.1214,26.4108,5.9,5.76,0.14,0.05,0.09,**,A2Vn,A2,
HD 160263,HD 160263,"17 41 16,24072","-46 55 18,5858",17,41,16.2,265.317669666667,4.63066689940202,-,46,55,18.6,-46.9218293888889,-0.81894041389515,344.1306,-8.6183,5.768,5.783,-0.015,-0.01,-0.01,Star,A0V,A0,
HD 16046 ,ome For,"02 33 50,70365","-28 13 56,4403",02,33,50.7,38.4612652083333,0.671275712368159,-,28,13,56.4,-28.2323445277778,-0.492747367567126,221.6989,-67.3433,4.906,4.957,-0.051,-0.07,0.02,Star,"B9,5V","B9,5",
HD 1606  ,HD 1606,"00 20 24,40160","+30 56 08,2060",00,20,24.4,5.10167333333333,0.089040997027861,+,30,56,08.2,30.9356127777778,0.539928299094251,115.1303,-31.4656,5.77,5.871,-0.101,-0.13,0.03,V*,B7V,B7,
HD 160928,HD 160928,"17 44 42,01005","-42 43 45,4875",17,44,42.0,266.175041875,4.64563086735253,-,42,43,45.5,-42.7293020833333,-0.745767008433439,348.0784,-6.9907,6.025,5.881,0.144,0.02,0.12,Star,"A1V+,,,",A1,
HD 161693,HD 161693,"17 43 59,17672","+53 48 06,1737",17,43,59.2,265.996569666667,4.64251593969382,+,53,48,06.2,53.8017149166667,0.939017068515181,81.4877,31.3617,5.77,5.76,0.01,0.05,-0.04,Star,A2V,A2,
HD 161701,HD 161701,"17 47 36,77960","-14 43 32,9747",17,47,36.8,266.903248333333,4.65834046768473,-,14,43,33.0,-14.7258263055556,-0.257014154108738,12.4432,6.9334,5.942,5.934,0.008,-0.07,0.08,SB*,B9V,B9,
HD 161833,HD 161833,"17 47 08,04670","+17 41 49,2493",17,47,08.0,266.783527916667,4.65625095223205,+,17,41,49.2,17.6970136944444,0.30887115673858,42.2529,21.9253,5.64,5.61,0.03,0.02,0.01,Star,A1V,A1,
HD 161840,HD 161840,"17 49 10,47716","-31 42 11,5438",17,49,10.5,267.293654833333,4.66515434653092,-,31,42,11.5,-31.7032066111111,-0.553325338803922,358.0289,-2.0884,4.764,4.806,-0.042,-0.11,0.07,Star,B8V,B8,
HD 161868,gam Oph,"17 47 53,55973","+02 42 26,2000",17,47,53.6,266.973165541667,4.65956075317396,+,02,42,26.2,2.70727777777778,0.047250910988298,28.0156,15.3599,3.79,3.75,0.04,-0.01,0.05,PM*,A0V,A0,
HD 162374,VV957 Sco,"17 52 13,66045","-34 47 57,1105",17,52,13.7,268.056918541667,4.67847581130233,-,34,47,57.1,-34.7991973611111,-0.607360571002711,355.6873,-4.2159,5.77,5.88,-0.11,-0.14,0.03,RotV*,B6V,B6,
HD 162579, 30 Dra,"17 49 04,28402","+50 46 51,8629",17,49,04.3,267.267850083333,4.66470396868076,+,50,46,51.9,50.7810730277778,0.886296922030409,78.0725,30.2992,5.04,5.02,0.02,0.05,-0.03,**,A2V,A2,
HD 162724,VV906 Sco,"17 53 54,77312","-34 45 09,7854",17,53,54.8,268.478221333333,4.68582893216474,-,34,45,09.8,-34.7527181666667,-0.606549356025981,355.9024,-4.4914,5.95,5.96,-0.01,-0.07,0.06,EB*Algol,"B9V+,,,",B9,
HD 163336,HD 163336,"17 56 19,03530","-15 48 45,0697",17,56,19.0,269.07931375,4.69631997394435,-,15,48,45.1,-15.8125193611111,-0.275980525886739,12.5592,4.5724,5.975,5.928,0.047,-0.01,0.06,PM*,A0V,A0,
HD 163624,HD 163624,"17 57 04,31216","+00 04 00,0067",17,57,04.3,269.267967333333,4.6996126001192,+,00,04,00.0,0.066668527777778,0.00116358531718,26.7012,12.1034,6.072,5.955,0.117,0.08,0.04,Star,A3V,A3,
HD 163955,4 Sgr,"17 59 47,55508","-23 48 58,0876",17,59,47.6,269.948146166667,4.71148396026325,-,23,48,58.1,-23.8161354444444,-0.415669978606478,6.0219,-0.126,4.709,4.731,-0.022,-0.07,0.05,PM*,B9V,B9,
HD 164284, 66 Oph,"18 00 15,79825","+04 22 07,0163",18,00,15.8,270.065826041667,4.71353786154533,+,04,22,07.0,4.36861563888889,0.076246726652727,30.9948,13.3701,4.684,4.784,-0.1,-0.24,0.14,Be*,B2Ve,B2,
HD 16432 ,nu. Ari,"02 38 48,99425","+21 57 41,0616",02,38,49.0,39.7041427083333,0.692968016942115,+,21,57,41.1,21.961406,0.383298843067238,153.4611,-34.4667,5.609,5.454,0.155,0.2,-0.05,Star,A7V,A7,
HD 164577, 68 Oph,"18 01 45,19884","+01 18 18,2775",18,01,45.2,270.4383285,4.72003925591502,+,01,18,18.3,1.30507708333333,0.022777892096491,28.3768,11.6404,4.473,4.439,0.034,0.05,-0.02,**,A2Vn,A2,
HD 164794,9 Sgr,"18 03 52,44466","-24 21 38,6269",18,03,52.4,270.968519416667,4.72929283307502,-,24,21,38.6,-24.3607296944444,-0.425174941356407,6.0089,-1.205,5.933,5.931,0.002,-0.04,0.04,Em*,"O4V,,,",O4,
HD 165189,HD 165189,"18 06 49,7 ", -43 25 21         ,18,06,49.7,271.707083333333,4.74218320515727,-,43,25,21.0,-43.4225,-0.757865594447238,349.4493,-10.8597,5.99,5.7,0.29,0.15,0.14,PM*,A5V,A5,
HD 165190,HD 165190,"18 06 49,89312","-43 25 30,7964",18,06,49.9,271.707888,4.74219724923999,-,43,25,30.8,-43.4252212222222,-0.757913088734694,349.4471,-10.8614,5.17,4.94,0.23,0.15,0.08,PM*,A5V,A5,
HD 16555 ,eta Hor,"02 37 24,37297","-52 32 35,0855",02,37,24.4,39.3515540416667,0.686814183803566,-,52,32,35.1,-52.5430793055556,-0.917049733018441,272.3082,-57.8212,5.561,5.304,0.257,0.17,0.09,**,A6V,A6,
HD 166014,omi Her,"18 07 32,55073","+28 45 44,9679",18,07,32.6,271.885628041667,4.74529939817971,+,28,45,45.0,28.7624910833333,0.502000170479677,55.1862,21.5878,3.821,3.837,-0.016,-0.07,0.05,Be*,"B9,5V","B9,5",
HD 166045,100 Her A,"18 07 49,452 "," +6 04 04,13    ",18,07,49.5,271.95605,4.74652849321833,+,06,04,04.1,6.06781388888889,0.105903330759353,52.5047,20.5849,5.98,5.87,0.11,0.08,0.03,**,A3V,A3,
HD 166046,100 Her B,"18 07 49,395"," +6 05 48,64    ",18,07,49.4,271.9558125,4.74652434806135,+,06,05,48.6,6.09684444444444,0.10641000953748,52.5335,20.5955,6.04,5.9,0.14,0.08,0.06,Star,A3V,A3,
HD 166205,del UMi,"17 32 12,99671","+86 35 11,2584",17,32,13.0,263.054152958333,4.59116108016769,+,86,35,11.3,86.5864606666667,1.5112188262819,119.2862,28.2376,4.382,4.348,0.034,0.02,0.01,**,A1Vn,A1,
HD 16628 , 33 Ari,"02 40 41,07563","+27 03 39,4040",02,40,41.1,40.1711484583333,0.70111880490536,+,27,03,39.4,27.0609455555556,0.472302598647371,151.018,-29.7858,5.374,5.298,0.076,0.08,0.00,PM*,A3V,A3,
HD 166988,HD 166988,"18 11 45,12111","+33 26 49,4097",18,11,45.1,272.938004625,4.76366683452976,+,33,26,49.4,33.44705825,0.583761291568833,60.2734,22.2886,6.01,5.97,0.04,0.08,-0.04,**,A3V,A3,
HD 167468,phi Oct,"18 23 36,44823","-75 02 39,3950",18,23,36.4,275.901867625,4.8153960024578,-,75,02,39.4,-75.0442763888889,-1.30976970776275,319.2663,-24.3755,5.505,5.465,0.04,-0.01,0.05,Star,A0V,A0,
HD 16811 ,mu. Ari,"02 42 21,93980","+20 00 41,2612",02,42,21.9,40.5914158333333,0.708453854337824,+,20,00,41.3,20.0114614444444,0.349265890341455,155.5279,-35.7434,5.71,5.74,-0.03,-0.01,-0.02,**,A0V,A0,
HD 1685  ,pi. Tuc,"00 20 39,03682","-69 37 29,6821",00,20,39.0,5.16265341666667,0.090105300260168,-,69,37,29.7,-69.6249116944444,-1.21518395047836,306.8722,-47.2671,5.459,5.498,-0.039,-0.07,0.03,**,B9V,B9,
HD 168905,HD 168905,"18 24 18,24063","-44 06 36,9181",18,24,18.2,276.076002625,4.81843523155076,-,44,06,36.9,-44.1102550277778,-0.769869184129105,350.2222,-13.999,5.062,5.223,-0.161,-0.24,0.08,V*,"B2,5Vn","B2,5",
HD 168914,t Her,"18 21 01,02008","+28 52 11,8293",18,21,01.0,275.254250333333,4.80409294842536,+,28,52,11.8,28.8699525833333,0.503875727473809,56.4006,18.8631,5.323,5.129,0.194,0.2,-0.01,Star,A7V,A7,
HD 169033,HD 169033,"18 23 12,16252","-12 00 53,1069",18,23,12.2,275.800677166667,4.81362989578829,-,12,00,53.1,-12.0147519166667,-0.209696979756133,19.0402,0.6906,5.711,5.705,0.006,-0.16,0.17,Be*,B5V,B5,
HD 16908 , 35 Ari,"02 43 27,11185","+27 42 25,7233",02,43,27.1,40.8629660416667,0.713193299557718,+,27,42,25.7,27.7071453611111,0.483580912880062,151.2872,-28.9257,4.519,4.64,-0.121,-0.2,0.08,SB*,B3V,B3,
HD 169111,HD 169111,"18 22 35,31853","+12 01 46,8522",18,22,35.3,275.647160541667,4.81095052522549,+,12,01,46.9,12.0296811666667,0.209957544323487,40.5339,11.7895,6.03,5.98,0.05,0.05,0.00,Star,A2V,A2,
HD 16970 ,gam Cet,"02 43 18,03910","+03 14 08,9390",02,43,18.0,40.8251629166667,0.712533510558925,+,03,14,08.9,3.23581638888889,0.056475649976104,168.9192,-49.3824,3.56,3.47,0.09,0.08,0.01,**,A3V,A3,
HD 170073,b Dra,"18 23 54,60641","+58 48 02,6446",18,23,54.6,275.977526708333,4.816716502571,+,58,48,02.6,58.8007346111111,1.02626642155528,87.8766,26.4411,5.099,5.034,0.065,0.02,0.05,**,A1V,A1,
HD 17036 ,omi Ari,"02 44 32,97317","+15 18 42,7085",02,44,33.0,41.1373882083333,0.717982869906507,+,15,18,42.7,15.3118634722222,0.267242432206129,159.2189,-39.4602,5.751,5.776,-0.025,-0.07,0.05,Star,B9Vn,B9,
HD 170479,HD 170479,"18 31 04,84445","-32 59 20,8022",18,31,04.8,277.770185208333,4.84800429575986,-,32,59,20.8,-32.9891117222222,-0.575768616861034,1.1073,-10.4894,5.568,5.391,0.177,0.15,0.03,Star,A5V,A5,
HD 170642,HD 170642,"18 32 21,33140","-39 42 14,4025",18,32,21.3,278.088880833333,4.85356658372781,-,39,42,14.4,-39.7040006944444,-0.69296553833217,354.9916,-13.5531,5.246,5.162,0.084,0.08,0.00,Star,A3Vn,A3,
HD 170740,HD 170740,"18 31 25,69365","-10 47 45,0104",18,31,25.7,277.857056875,4.8495204923699,-,10,47,45.0,-10.7958362222222,-0.188422887583844,21.0574,-0.5259,5.932,5.762,0.17,-0.24,0.41,SB*,B2V,B2,
HD 170868,kap02 CrA,"18 33 23,13535","-38 43 33,5509",18,33,23.1,278.346397291667,4.85806109380382,-,38,43,33.6,-38.7259863611111,-0.675895968083806,355.9928,-13.334,5.539,5.601,-0.062,-0.07,0.01,Star,B9V,B9,
HD 170878,HD 170878,"18 31 04,44914","+16 55 42,8042",18,31,04.4,277.768538083333,4.84797554800542,+,16,55,42.8,16.9285567222222,0.295459052413396,45.9572,12.0242,5.81,5.76,0.05,0.05,0.00,Star,A2V,A2,
HD 171623,HD 171623,"18 35 12,60300","+18 12 12,2800",18,35,12.6,278.8025125,4.86602180595765,+,18,12,12.3,18.2034111111111,0.317709458983008,47.5633,11.6691,5.78,5.79,-0.01,-0.01,0.00,**,A0Vn,A0,
HD 171978,e Ser,"18 37 35,96209","-00 18 34,1007",18,37,36.0,279.399842041667,4.87644717317917,-,00,18,34.1,-0.309472416666667,-0.005401312614937,31.0772,2.9373,5.832,5.773,0.059,0.02,0.04,SB*,"A1V+,,,",A1,
HD 172167,alf Lyr,"18 36 56,33635","+38 47 01,2802",18,36,56.3,279.234734791667,4.87356550804775,+,38,47,01.3,38.7836889444444,0.676903068149879,67.4482,19.2373,0.03,0.03,0,-0.01,0.01,PulsV*delSct,A0V,A0,
HD 172555,HD 172555,"18 45 26,90049","-64 52 16,5398",18,45,26.9,281.362085375,4.91069478007113,-,64,52,16.5,-64.8712610555556,-1.13221709534022,330.5666,-23.7628,4.97,4.779,0.191,0.2,-0.01,PM*,A7V,A7,
HD 172728,HD 172728,"18 37 33,50009","+62 31 35,7174",18,37,33.5,279.389583708333,4.87626813148672,+,62,31,35.7,62.5265881666667,1.09129483354686,92.2751,25.4302,5.69,5.74,-0.05,-0.01,-0.04,PM*,A0V,A0,
HD 172777,lam CrA,"18 43 46,94185","-38 19 24,3885",18,43,46.9,280.945591041667,4.90342558263858,-,38,19,24.4,-38.32344125,-0.668870230507111,357.2123,-15.0367,5.194,5.12,0.074,0.05,0.02,PM*,A2Vn,A2,
HD 172910,HD 172910,"18 44 19,35901","-35 38 31,1546",18,44,19.4,281.080662541667,4.90578302503918,-,35,38,31.2,-35.6419873888889,-0.622070031890408,359.8025,-14.079,4.679,4.843,-0.164,-0.24,0.08,PulsV*,"B2,5V","B2,5",
HD 173168,tet Pav,"18 48 37,90542","-65 04 39,6449",18,48,37.9,282.15793925,4.92458505055464,-,65,04,39.6,-65.0776791388889,-1.13581977053004,330.4306,-24.1377,5.955,5.715,0.24,0.27,-0.03,PM*,A8V,A8,
HD 173370,4 Aql,"18 44 49,93820","+02 03 36,1360",18,44,49.9,281.208075833333,4.90800680648956,+,02,03,36.1,2.06003777777778,0.03595444193769,34.0135,2.4084,4.964,5.014,-0.05,-0.07,0.02,Be*,B9V,B9,
HD 173495,HD 173495,"18 45 28,36421","+05 30 00,4441",18,45,28.4,281.368184208333,4.91080122479333,+,05,30,00.4,5.50012336111111,0.095995261917246,37.1559,3.8279,5.87,5.83,0.04,0.02,0.02,**,"A1V+,,,",A1,
HD 173582,eps01 Lyr A,"18 44 20,3453 ","39 40 12,444  ",18,44,20.3,281.084772083333,4.905854750072,+,39,40,12.4,39.6701233333333,0.692374266838894,68.8487,18.1979,5.22,5.06,0.16,0.12,0.04,PM*,A4V,A4,
HD 173607,eps02 Lyr A,"18 44 22,7803 ","39 36 45,798  ",18,44,22.8,281.094917916667,4.90603182826904,+,39,36,45.8,39.6127216666667,0.69137241875943,68.795,18.1705,5.33,5.14,0.19,0.27,-0.08,**,A8Vn,A8,
HD 173654,5 Aql,"18 46 28,59470","-00 57 42,0891",18,46,28.6,281.619144583333,4.91518130962912,-,00,57,42.1,-0.961691416666667,-0.016784681609002,31.5104,0.6652,6.03,5.9,0.13,0.05,0.08,**,A2Vm,A2,
HD 173715,eta01 CrA,"18 48 50,48994","-43 40 48,1591",18,48,50.5,282.21037475,4.92550022267457,-,43,40,48.2,-43.6800441944444,-0.762360588609689,352.3975,-17.9161,5.582,5.458,0.124,0.08,0.04,Star,A3V,A3,
HD 174237,HD 174237,"18 46 43,08849","+52 59 16,6627",18,46,43.1,281.679535375,4.91623532778159,+,52,59,16.7,52.9879618611111,0.924814398397571,82.4451,22.0329,5.8,5.9,-0.1,-0.24,0.14,Be*,"B2,5Ve","B2,5",
HD 174262,HD 174262,"18 48 53,38616","+19 19 43,3984",18,48,53.4,282.222442333333,4.92571084173649,+,19,19,43.4,19.3287217777778,0.337349835224154,50.0047,9.2221,5.914,5.894,0.02,0.02,0.00,Star,A1V,A1,
HD 174602,nu. Lyr,"18 49 52,91721","+32 33 03,8153",18,49,52.9,282.470488375,4.93004006186012,+,32,33,03.8,32.5510598055556,0.56812316862053,62.3991,14.5033,5.327,5.233,0.094,0.08,0.01,Star,A3V,A3,
HD 174638,bet Lyr,"18 50 04,79525","+33 21 45,6100",18,50,04.8,282.519980208333,4.93090385730463,+,33,21,45.6,33.3626694444444,0.582288429060062,63.1876,14.7835,3.52,3.52,0,-0.13,0.13,EB*betLyr,"B7Ve+,,,",B7,
HD 17471 ,VVZ Ari,"02 48 45,90441","+25 11 17,0320",02,48,45.9,42.191268375,0.736376548736308,+,25,11,17.0,25.1880644444444,0.439614656760071,153.9065,-30.5342,5.85,5.89,-0.04,-0.01,-0.03,RotV*alf2CVn,A0V,A0,
HD 175191,sig Sgr,"18 55 15,92650","-26 17 48,2068",18,55,15.9,283.816360416667,4.95352996029775,-,26,17,48.2,-26.2967241111111,-0.458964418227468,9.5559,-12.4352,1.925,2.058,-0.133,-0.24,0.11,PM*,B2V,B2,
HD 175286, 50 Dra,"18 46 22,23631","+75 26 02,2677",18,46,22.2,281.592651291667,4.91471891445985,+,75,26,02.3,75.43396325,1.3165710265409,106.6141,26.505,5.418,5.368,0.05,0.02,0.03,SB*,A1Vn,A1,
HD 175426,del01 Lyr,"18 53 43,55911","+36 58 18,1920",18,53,43.6,283.431496291667,4.94681281414369,+,36,58,18.2,36.97172,0.645278244125438,66.9336,15.4941,5.433,5.569,-0.136,-0.24,0.10,SB*,"B2,5V","B2,5",
