Name,CDSName,RA,Dec,ra1,ra2,ra3,RA_dec,RA_radians,sde,de1,de2,de3,de_dec,Dec_radians,LongGal,LatGal,B,V,B-V,B0-V0,EB-V,OType,Sp,Sp_s,Miles
HD 99787 , 57 UMa,"11 29 04,12195","+39 20 13,1119",11,29,04.1,172.267174791667,3.00662939322317,+,39,20,13.1,39.3369755277778,0.686559740736157,172.2288,68.9717,5.373,5.354,0.019,0.05,-0.03,**,A2V,A2,
HD 99803 ,HD 99803,"11 28 35,07993","-42 40 27,1303",11,28,35.1,172.146166375,3.0045173979297,-,42,40,27.1,-42.6742028611111,-0.744805345590373,287.0971,17.6356,5.104,5.132,-0.028,-0.07,0.04,Star,B9V,B9,
HD 99922 ,HD 99922,"11 29 38,61879","-24 27 50,4713",11,29,38.6,172.410911625,3.00913807422122,-,24,27,50.5,-24.4640198055556,-0.426977693880048,280.1579,34.7647,5.83,5.76,0.07,-0.01,0.08,**,A0V,A0,
HD 169027, 38 Dra,18:16:58.8,+68:44:29,18,16,58.8,274.245,4.78647820713185,+,68,44,29,68.7413888888889,1.19976356850496,,,,6.779,,,0.03,PM*,A0,A0,s0671
HD 14829,HD 14829,02:23:09.2,-10:40:39.4,02,23,58.9,35.9954166666667,0.628238536460576,-,10,40,39.4,-10.6776111111111,-0.186359470136419,,,,10.22,,,0.02,PM*,A0,A0,s0085
HD 167105,HD 167105,18:11:06.2,+50:47:32.3,18,11,58.1,272.992083333333,4.7646106860454,+,50,47,32.3,50.7923055555556,0.886492966623453,,,,8.93,,,0.04,HB*,A0,A0,s0668
HD 207222,HD 207222,21:46:56.2,+21:17:50.6,21,46,58.11,326.742125,5.70272588621288,+,21,17,50.6,21.2973888888889,0.371709558188768,,,,8.6,,,0.06,Star,A0,A0,s0818
HD 93329,HD 93329,10:46:36.7,+11:11:02.8,10,46,58.12,161.742166666667,2.82293334764276,+,11,11,02.8,11.1841111111111,0.19519956279777,,,,8.76,,,0.03,HB*,A0,A0,s0392
BD+092190,BD+09  2190,09:29:15.6,+08:38:00.5,09,29,58.13,142.492208333333,2.48695819385437,+,08,38,00.5,8.63347222222222,0.150682516157249,,,,11.14,,,0.01,PM*,A0,A0,s0348
HD 213307,HD 213307,22:29:09.4,+58:24:14.8,22,29,58.14,337.49225,5.89035096246383,+,58,24,14.8,58.4041111111111,1.01934403558949,,,,6.3,,,0.10,V*?,A0,A0,s0834
HD 123299,alf Dra,14:04:23.3,+64:22:33.2,14,04,58.15,211.242291666667,3.68687350904151,+,64,22,33.2,64.3758888888889,1.12357122000915,,,,3.647,,,0.01,SB*,A0 III,A0,s0495
HD 112413,alf02 CVn,12:56:01.7,+38:19:06.2,12,56,58.16,194.242333333333,3.390168263423,+,38,19,06.2,38.3183888888889,0.668782050170723,,,,2.9,,,0.01,RotV*alf2CVn,A0 spe,A0,s0456
HD 109995,HD 109995,12:38:47.5,+39:18:31.7,12,38,58.17,189.742375,3.31162917430378,+,39,18,31.7,39.3088055555556,0.686068081970684,,,,7.598,,,0.00,HB*,A0 V (HB),A0,s0446
HD 20041,HD 20041,03:15:48,+57:08:26.2,03,15,58.18,48.9924166666667,0.855078979342279,+,57,08,26.2,57.1406111111111,0.997291800490544,,,,5.826,,,0.73,*inNeb,A0Ia,A0,s0110
HD 39970,HD 39970,05:56:56.1,+24:14:58.9,05,56,58.19,89.2424583333333,1.55757473049052,+,24,14,58.9,24.2496944444444,0.423237010658132,,,,6.045,,,0.38,V*,A0Ia,A0,s0200
HD 161695,HD 161695,17:45:40.3,+31:30:16.9,17,45,58.2,266.4925,4.65117155687099,+,31,30,16.9,31.5046944444444,0.549860647890321,,,,6.246,,,0.01,Star,A0Ib,A0,s0645
HD 87737,eta Leo,10:07:19.9,+16:45:45.7,10,07,58.21,151.992541666667,2.652770290558,+,16,45,45.7,16.7626944444444,0.292564209561316,,,,3.511,,,0.00,Star,A0Ib,A0,s0371
HD 181470,HD 181470,19:19:01.2,+37:26:43.1,19,19,58.22,289.992583333333,5.0613253855307,+,37,26,43.1,37.4453055555555,0.653543871359768,,,,6.246,,,0.05,SB*,A0III,A0,s0718
HD 111786,VMO Hya,12:51:57.8,-26:44:17.9,12,51,58.23,192.992625,3.36835673831672,-,26,44,17.9,-26.7383055555556,-0.466671468348737,,,,6.145,,,0.02,PulsV*delSct,A0III,A0,s0453
HD 220933, 69 Peg,23:27:40.3,+25:10:02.3,23,27,58.24,351.992666666667,6.14343097620823,+,25,10,02.3,25.1673055555556,0.439252345799906,,,,5.986,,,0.04,RotV*alf2CVn,A0mnp...,A0,s0878
HD 143807,iot CrB,16:01:26.6,+29:51:04,16,01,58.25,240.492708333333,4.19738958745507,+,29,51,"04,",29.8511111111111,0.521000174267552,,,,4.975,,,0.02,SB*,A0p...,A0,s0581
HD 220825,kap Psc,23:26:55.9,+01:15:20.2,23,26,58.26,351.74275,6.13906910751928,+,01,15,20.2,1.25561111111111,0.021914548013513,,,,4.927,,,0.01,RotV*alf2CVn,A0p...,A0,s0877
HD 140160,chi Ser,15:41:47.5,+12:50:51,15,41,58.27,235.492791666667,4.1101245792964,+,12,50,"51,",12.8475,0.224231175649971,,,,5.323,,,0.02,RotV*alf2CVn,A0p...,A0,s0567
HD 196502, 73 Dra,20:31:30.5,+74:57:16.6,20,31,58.28,307.992833333333,5.37548901421281,+,74,57,16.6,74.9546111111111,1.30820475344081,,,,5.191,,,0.13,RotV*alf2CVn,A0p...,A0,s0764
HD 89822B,HD 89822B,10:24:07.9,+65:33:59,10,24,58.29,156.242875,2.72695260153194,+,65,33,"59,",65.5663888888889,1.14434936475414,,,,4.935,,,0.01,Star,A0sp?,A0,s0386
HD 183324,c Aql,19:29:01,+01:57:01.6,19,29,58.3,292.492916666667,5.10496443459473,+,01,57,01.6,1.95044444444444,0.034041677432787,,,,5.793,,,0.03,PulsV*delSct,A0V,A0,s0722
HD 31295,pi.01 Ori,04:54:53.7,+10:09:02.9,04,54,58.31,73.7429583333333,1.28705742307766,+,10,09,02.9,10.1508055555556,0.177164978674177,,,,4.656,,,0.10,PM*,A0V,A0,s0166
HD 74721,HD 74721,08:45:59.3,+13:15:48.6,08,45,58.32,131.493,2.2949857933249,+,13,15,48.6,13.2635,0.231491745338268,,,,8.71,,,0.03,HB*,A0V,A0,s0317
HD 146624,d Sco,16:18:18,-28:36:50.4,16,18,58.33,244.743041666667,4.271571898429,-,28,36,50.4,-28.614,-0.499408512165658,,,,4.792,,,0.05,PM*,A0V:,A0,s0592
HD 174567,HD 174567,18:49:44.2,+31:37:45.8,18,49,58.34,282.493083333333,4.93043441827738,+,31,37,45.8,31.6293888888889,0.552036976504822,,,,6.634,,,0.07,Star,A0Vs,A0,s0698
HD 143459, 50 Lib,16:00:47.5,-08:24:40.9,16,00,58.35,240.243125,4.1930335365303,-,08,24,40.9,-8.41136111111111,-0.146805945963097,,,,5.53,,,0.11,HB*,A0Vs,A0,s0578
HD 112028,HD 112028,12:49:13.7,+83:24:46.4,12,49,58.36,192.493166666667,3.35963954592353,+,83,24,46.4,83.4128888888889,1.45582954971131,,,,5.311,,,0.07,Star,A1 III,A1,s0451
HD 221756, 15 And,23:34:37.4,+40:14:11,23,34,58.37,353.743208333333,6.17398369198491,+,40,14,"11,",40.2363888888889,0.702257465223974,,,,5.564,,,0.02,PulsV*delSct,A1III,A1,s0885
HD 214994,omi Peg,22:41:45.4,+29:18:27.4,22,41,58.38,340.49325,5.94272829331618,+,29,18,27.4,29.3076111111111,0.511514309782962,,,,4.797,,,0.02,Star,A1IV,A1,s0841
HD 204041,HD 204041,21:25:51.6,+00:32:03.6,21,25,58.39,321.493291666667,5.61111646265778,+,00,32,03.6,0.534333333333333,0.009325875969823,,,,6.468,,,0.03,PM*,A1IV,A1,s0796
HD 60179,alf Gem A,07:34:36,+31:53:18.2,07,34,58.4,113.743333333333,1.98519566886008,+,31,53,18.2,31.8883888888889,0.556557379267488,,,,1.88,,,0.00,SB*,A1V,A1,s0262
HD 65900,HD 65900,08:01:13.9,+04:52:47.4,08,01,58.41,120.493375,2.10300612059022,+,04,52,47.4,4.87983333333333,0.085169158615237,,,,5.646,,,0.01,Star,A1V,A1,s0288
HD 72660,HD 72660,08:34:01.7,-02:09:05.6,08,34,58.42,128.743416666667,2.24699651110028,-,02,09,05.6,-2.15155555555556,-0.03755172848402,,,,5.799,,,0.01,Star,A1V,A1,s0304
HD 114330,tet Vir,13:09:56.9,-05:32:20.4,13,09,58.43,197.493458333333,3.4469110990669,-,05,32,20.4,-5.539,-0.096673787267966,,,,4.381,,,0.02,**,A1V,A1,s0461
HD 198001,eps Aqr,20:47:40.6,-09:29:44.8,20,47,58.44,311.9935,5.44531381982093,-,09,29,44.8,-9.49577777777778,-0.165732587259933,,,,3.77,,,0.02,Star,A1V,A1,s0776
HD 175892,HD 175892,18:58:24.7,-22:31:46.2,18,58,58.45,284.743541666667,4.969712325873,-,22,31,46.2,-22.5295,-0.393213953828062,,,,6.151,,,0.02,Star,A1V,A1,s0708
HD 00319,HD 319,00:07:46.9,-22:30:31,00,07,58.46,1.99358333333333,0.03479459307955,-,22,30,"31,",-22.5086111111111,-0.392849373939868,,,,5.942,,,0.01,PM*,A1V,A1,s0006
HD 86986,HD 86986,10:02:29.5,+14:33:25.2,10,02,58.47,150.743625,2.63097258264164,+,14,33,25.2,14.557,0.254067579212814,,,,8.01,,,0.03,HB*,A1V,A1,s0368
BD+302431,BD+30  2431,13:38:24.7,+29:21:56.2,13,38,58.48,204.743666666667,3.5734511059391,+,29,21,56.2,29.3656111111111,0.512526600749119,,,,10.02,,,0.05,HB*,A2,A2,s0480
HD 64488,HD 64488,07:55:54.7,+39:17:12.5,07,55,58.49,118.993708333333,2.07683199957448,+,39,17,12.5,39.2868055555556,0.685684109535245,,,,7.14,,,0.04,Star,A2,A2,s0283
HD 02857,HD 2857,00:31:53.8,-05:15:42.9,00,31,58.5,7.99375,0.139517257081297,-,05,15,42.9,-5.26191666666667,-0.091837770798898,,,,9.95,,,0.00,HB*,A2 (HB),A2,s0018
HD 207260,nu. Cep,21:45:26.9,+61:07:14.9,21,45,58.51,326.493791666667,5.69839165190376,+,61,07,14.9,61.1208055555556,1.06675929841569,,,,4.312,,,0.03,SG*,A2 Ia,A2,s0815
HD 207673,HD 207673,21:49:40.1,+41:08:55.7,21,49,58.52,327.493833333333,5.71584567164422,+,41,08,55.7,41.1488055555556,0.71818214020738,,,,6.492,,,0.00,Star,A2 Ib,A2,s0819
HD 161817,HD 161817,17:46:40.6,+25:44:56.8,17,46,58.53,266.743875,4.65555887827819,+,25,44,56.8,25.7491111111111,0.449406768350744,,,,6.988,,,0.05,HB*,A2 VI (HB),A2,s0647
HD 142703,VHR Lib,15:56:33.4,-14:49:45.8,15,56,58.54,239.243916666667,4.17559406120027,-,14,49,45.8,-14.8293888888889,-0.258821662169775,,,,6.123,,,0.04,PulsV*delSct,A2Ib/II,A2,s0577
